Time,Line 13 TO 16 CKT 1,Line 74 TO 78 CKT 1,Line 75 TO 78 CKT 1,Line 76 TO 77 CKT 1,Line 76 TO 78 CKT 1,Transformer 136 TO 137 CKT 1,Transformer 136 TO 137 CKT 2,Transformer 138 TO 139 CKT 1,Transformer 138 TO 139 CKT 2,Transformer 141 TO 142 CKT 1,Transformer 141 TO 142 CKT 2,Transformer 143 TO 144 CKT 1,Transformer 143 TO 144 CKT 2,Transformer 145 TO 146 CKT 1,Transformer 145 TO 146 CKT 2,Transformer 147 TO 148 CKT 1,Transformer 149 TO 150 CKT 1,Transformer 149 TO 150 CKT 2
0.9,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
0.933333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
0.966667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.033333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.066667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.1,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.133333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.166667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.2,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.233333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.266667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.3,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
